image_id,label
0,7
1,4
2,3
3,8
4,6
5,5
6,0
7,1
8,0
9,4
10,2
11,5
12,5
13,5
14,2
15,7
16,3
17,0
18,1
19,1
20,5
21,3
22,3
23,7
24,7
25,6
26,3
27,4
28,8
29,5
30,6
31,8
32,6
33,1
34,6
35,0
36,5
37,4
38,6
39,2
40,2
41,6
42,3
43,6
44,2
45,3
46,4
47,3
48,7
49,2
50,5
51,0
52,3
53,7
54,7
55,6
56,8
57,1
58,3
59,2
60,0
61,5
62,4
63,2
64,7
65,8
66,0
67,8
68,7
69,2
70,5
71,1
72,8
73,7
74,1
75,5
76,7
77,1
78,8
79,0
80,6
81,2
82,7
83,3
84,1
85,7
86,2
87,3
88,4
89,7
90,3
91,8
92,1
93,2
94,3
95,6
96,3
97,7
98,3
99,5
100,4
101,8
102,8
103,0
104,7
105,2
106,5
107,3
108,2
109,6
110,7
111,7
112,0
113,7
114,7
115,0
116,4
117,3
118,8
119,0
120,4
121,4
122,5
123,7
124,3
125,5
126,5
127,5
128,5
129,7
130,1
131,8
132,2
133,1
134,6
135,3
136,8
137,0
138,5
139,7
140,2
141,5
142,4
143,1
144,7
145,2
146,4
147,5
148,4
149,7
150,6
151,7
152,4
153,5
154,5
155,2
156,6
157,7
158,7
159,8
160,6
161,4
162,6
163,0
164,3
165,5
166,6
167,8
168,1
169,4
170,6
171,7
172,7
173,6
174,7
175,8
176,5
177,2
178,6
179,4
180,0
181,7
182,4
183,5
184,4
185,8
186,8
187,1
188,5
189,6
190,0
191,7
192,2
193,0
194,1
195,4
196,2
197,7
198,0
199,4
200,5
201,0
202,7
203,2
204,3
205,5
206,7
207,2
208,4
209,2
210,8
211,3
212,3
213,2
214,2
215,7
216,6
217,5
218,2
219,2
220,2
221,7
222,6
223,0
224,4
225,0
226,5
227,3
228,8
229,4
230,7
231,0
232,2
233,7
234,6
235,1
236,1
237,7
238,2
239,1
240,8
241,3
242,5
243,8
244,1
245,2
246,7
247,1
248,3
249,6
250,6
251,2
252,2
253,0
254,2
255,7
256,3
257,5
258,7
259,7
260,6
261,2
262,6
263,7
264,7
265,6
266,6
267,4
268,1
269,7
270,3
271,0
272,0
273,6
274,1
275,1
276,7
277,5
278,0
279,7
280,6
281,7
282,6
283,2
284,8
285,2
286,5
287,6
288,2
289,1
290,1
291,4
292,6
293,5
294,3
295,5
296,6
297,7
298,7
299,1
300,8
301,2
302,2
303,5
304,7
305,6
306,7
307,8
308,4
309,7
310,7
311,5
312,0
313,3
314,1
315,7
316,5
317,6
318,8
319,0
320,7
321,1
322,0
323,5
324,3
325,2
326,6
327,6
328,3
329,4
330,1
331,5
332,0
333,2
334,7
335,5
336,4
337,0
338,5
339,0
340,6
